Date,Customer,Qty
2024-09-29 00:00:00.000,A,99
2024-10-01 00:00:00.000,A,37
2024-10-04 00:00:00.000,A,83
2024-10-05 00:00:00.000,A,54
2024-10-07 00:00:00.000,A,23
2024-10-07 00:00:00.000,A,98
2024-10-16 00:00:00.000,A,10
2024-10-23 00:00:00.000,A,44
2024-10-03 00:00:00.000,B,91
2024-10-04 00:00:00.000,B,86
2024-10-05 00:00:00.000,B,87
2024-10-17 00:00:00.000,B,21
2024-10-17 00:00:00.000,B,15
2024-10-22 00:00:00.000,B,12
2024-10-23 00:00:00.000,B,66
2024-10-23 00:00:00.000,B,90
2024-09-26 00:00:00.000,C,33
2024-09-29 00:00:00.000,C,66
2024-10-04 00:00:00.000,C,20
2024-10-06 00:00:00.000,C,63
2024-10-14 00:00:00.000,C,45
2024-10-17 00:00:00.000,C,26
2024-10-19 00:00:00.000,C,78
2024-10-19 00:00:00.000,C,91
