Index,HrActionID,ProcessStepID,ProcessStepCompletionDate,DaysBtwSteps,Problem2 Brian
1,1,1000,2017-11-27 00:00:00,1,1
2,1,1010,2018-03-14 00:00:00,107,107
3,1,1020,2018-04-25 00:00:00,42,42
4,1,1030,2018-04-25 00:00:00,0,0
5,1,1040,2018-04-25 00:00:00,0,0
6,1,1050,2018-04-25 00:00:00,0,0
7,1,1060,2018-05-01 00:00:00,6,6
8,1,1070,2018-05-18 00:00:00,17,17
9,1,1080,2018-06-26 00:00:00,39,39
10,1,1090,2018-07-03 00:00:00,7,7
11,1,1100,2018-11-08 00:00:00,128,128
12,2,1000,2019-01-11 00:00:00,1,1
13,2,1010,2019-01-31 00:00:00,20,20
14,2,1020,2019-03-21 00:00:00,49,49
15,2,1030,2019-03-21 00:00:00,0,0
16,2,1040,2019-05-03 00:00:00,43,43
17,2,1050,2019-05-04 00:00:00,1,1
18,2,1060,2019-05-09 00:00:00,5,5
19,2,1070,2019-05-23 00:00:00,14,14
