OrderDate,OrderNumber,Line Total
2022-02-13 00:00:00,SO - 000101,9815.5
2022-02-13 00:00:00,SO - 000102,19698
2022-02-13 00:00:00,SO - 000103,17755
2022-02-13 00:00:00,SO - 000104,13949.4
2022-02-13 00:00:00,SO - 000105,10934.4
2022-02-13 00:00:00,SO - 000106,6231
2022-02-13 00:00:00,SO - 000107,11926
2022-02-13 00:00:00,SO - 000108,18157
2022-02-14 00:00:00,SO - 000109,27155.1
2022-02-14 00:00:00,SO - 000110,11738.4
2022-02-14 00:00:00,SO - 000111,2412
2022-02-14 00:00:00,SO - 000112,50223.2
2022-02-14 00:00:00,SO - 000113,7363.3
2022-02-14 00:00:00,SO - 000114,2291.4
2022-02-14 00:00:00,SO - 000115,19664.5
2022-02-14 00:00:00,SO - 000116,11122
2022-02-14 00:00:00,SO - 000117,14874
2022-02-14 00:00:00,SO - 000118,11818.8
2022-02-14 00:00:00,SO - 000119,27905.5
2022-02-14 00:00:00,SO - 000120,24763.2
2022-02-14 00:00:00,SO - 000121,18224
2022-02-15 00:00:00,SO - 000122,11899.2
2022-02-15 00:00:00,SO - 000123,23878.8
2022-02-15 00:00:00,SO - 000124,23637.6
2022-02-15 00:00:00,SO - 000125,3216
2022-02-15 00:00:00,SO - 000126,1916.2
2022-02-15 00:00:00,SO - 000127,17929.2
2022-02-15 00:00:00,SO - 000128,43998.9
2022-02-15 00:00:00,SO - 000129,59764
2022-02-15 00:00:00,SO - 000130,17406.6
2022-02-16 00:00:00,SO - 000131,42538.3
2022-02-16 00:00:00,SO - 000132,34411.2
2022-02-16 00:00:00,SO - 000133,47034
2022-02-16 00:00:00,SO - 000134,48668.8
2022-02-16 00:00:00,SO - 000135,12830.5
2022-02-16 00:00:00,SO - 000136,22780
2022-02-16 00:00:00,SO - 000137,1829.1
2022-02-16 00:00:00,SO - 000138,8984.7
2022-02-16 00:00:00,SO - 000139,20984.4
2022-02-16 00:00:00,SO - 000140,10190.7
2022-02-16 00:00:00,SO - 000141,21647.7
2022-02-16 00:00:00,SO - 000142,39911.9
2022-02-17 00:00:00,SO - 000143,22069.8
2022-02-17 00:00:00,SO - 000144,21667.8
2022-02-17 00:00:00,SO - 000145,34793.1
2022-02-17 00:00:00,SO - 000146,16133.6
2022-02-17 00:00:00,SO - 000147,31959
2022-02-17 00:00:00,SO - 000148,64521
2022-02-18 00:00:00,SO - 000149,12019.8
2022-02-18 00:00:00,SO - 000150,18190.5
2022-02-18 00:00:00,SO - 000151,13668
2022-02-18 00:00:00,SO - 000152,11095.2
2022-02-18 00:00:00,SO - 000153,43188.2
2022-02-18 00:00:00,SO - 000154,26779.9
2022-02-18 00:00:00,SO - 000155,22579
2022-02-19 00:00:00,SO - 000156,7785.4
2022-02-19 00:00:00,SO - 000157,17788.5
2022-02-19 00:00:00,SO - 000158,16602.6
2022-02-19 00:00:00,SO - 000159,10291.2
2022-02-20 00:00:00,SO - 000160,42819.7
2022-02-20 00:00:00,SO - 000161,27818.4
2022-02-20 00:00:00,SO - 000162,22431.6
2022-02-20 00:00:00,SO - 000163,8576
2022-02-20 00:00:00,SO - 000164,27094.8
2022-02-20 00:00:00,SO - 000165,5293
2022-02-20 00:00:00,SO - 000166,24924
2022-02-20 00:00:00,SO - 000167,23115
2022-02-21 00:00:00,SO - 000168,2653.2
2022-02-21 00:00:00,SO - 000169,5259.5
2022-02-21 00:00:00,SO - 000170,1822.4
2022-02-21 00:00:00,SO - 000171,9708.3
2022-02-21 00:00:00,SO - 000172,6030
2022-02-21 00:00:00,SO - 000173,14914.2
2022-02-21 00:00:00,SO - 000174,26599
2022-02-22 00:00:00,SO - 000175,24468.4
2022-02-22 00:00:00,SO - 000176,19778.4
2022-02-22 00:00:00,SO - 000177,7081.9
2022-02-22 00:00:00,SO - 000178,1407
2022-02-22 00:00:00,SO - 000179,2090.4
2022-02-22 00:00:00,SO - 000180,20033
2022-02-22 00:00:00,SO - 000181,7999.8
2022-02-23 00:00:00,SO - 000182,837.5
2022-02-23 00:00:00,SO - 000183,15979.5
2022-02-23 00:00:00,SO - 000184,10519
